subject_session,stimulus,perception_event_value,perception_onset_seconds,perception_sample,imagination_event_value,imagination_onset_seconds,imagination_sample,event_gap_seconds
3_3,penguin_s,109,91.477539062,93673,84,94.894531250,97172,3.416992188
8_3,guitar_c,104,150.718750000,154336,79,154.155273438,157855,3.436523438
10_1,flower_c,101,255.257812500,261384,76,258.679687500,264888,3.421875000
11_1,guitar_s,104,163.281250000,167200,79,166.708984375,170710,3.427734375
12_1,penguin_m,108,168.217773438,172255,83,171.651367188,175771,3.433593750
12_2,flower_c,101,183.855468750,188268,76,187.285156250,191780,3.429687500
13_1,flower_c,101,175.489257812,179701,76,178.924804688,183219,3.435546876
14_1,guitar_s,106,150.303710938,153911,81,153.732421875,157422,3.428710937
14_2,penguin_c,107,178.109375000,182384,82,181.533203125,185890,3.423828125
15_1,guitar_s,103,170.995117188,175099,78,174.428710938,178615,3.433593750
15_2,penguin_s,109,160.811523438,164671,84,164.239257812,168181,3.427734374
16_1,guitar_s,106,157.226562500,161000,81,160.664062500,164520,3.437500000
17_1,flower_m,102,72.197265625,73930,77,75.626953125,77442,3.429687500
18_1,flower_m,90,280.820312500,287560,65,284.245117188,291067,3.424804688
19_1,flower_m,93,206.992187500,211960,68,210.446289062,215497,3.454101562
