method,3_3,8_3,10_1,11_1,12_1,12_2,13_1,14_1,14_2,15_1,15_2,16_1,17_1,18_1,19_1,reported_average_percent
EEGNet,75,74,79,76,79,78,82,78,80,86,81,80,84,74,81,79.1
ConvNet,79,76,88,79,83,77,90,80,80,89,89,89,91,81,87,83.9
CapsNet,75,73,85,83,84,78,88,78,75,97,87,89,93,80,90,83.7
S3T,70,78,83,75,78,76,95,99,98,90,90,87,94,83,99,86.3
ConvNeXt,84,80,93,88,92,90,97,82,87,99,94,92,97,87,91,90.2
MTCA-CapsNet,88,80,96,85,86,89,92,88,95,100,92,90,95,86,100,90.8
Conformer,81,74,93,86,82,89,94,87,91,98,94,89,95,85,92,88.7
LMDA-Net,80,80,93,88,88,88,95,92,95,99,96,89,97,92,100,91.2
STCapsNet,87,82,95,92,92,93,100,99,100,100,97,94,100,92,100,94.9
This Study,97,94,94,96,95,96,95,94,95,95,95,94,95,95,97,95.1
